GeoFips,GeoName,2015,2016,2017,2018,2019,2020
51001,"Accomack, VA",145002,174391,207551,223962,246497,255009
51007,"Amelia, VA",24871,25271,25915,26159,26821,28654
51009,"Amherst, VA",98164,94828,90802,90860,88879,90344
51011,"Appomattox, VA",30370,31141,31781,32444,32674,34459
51013,"Arlington, VA",3637242,3748615,3951253,4153446,4394423,4516829
51017,"Bath, VA",22818,23813,23695,23903,24874,25152
51019,"Bedford, VA*",190661,192283,194560,202519,197744,202887
51021,"Bland, VA",28855,28485,29302,30613,29932,30178
51023,"Botetourt, VA",108675,108226,112182,119528,125927,128003
51025,"Brunswick, VA",42375,43010,41766,39827,40417,41186
51027,"Buchanan, VA",88793,81255,85112,88820,87816,80279
51029,"Buckingham, VA",41204,42539,41750,42635,43266,44218
51033,"Caroline, VA",71422,73440,74563,77262,78507,81648
51036,"Charles City, VA",19106,19408,20286,20859,20593,21598
51037,"Charlotte, VA",31915,33286,33219,33018,32534,32822
51041,"Chesterfield, VA",1496750,1546483,1601059,1670832,1664794,1724126
51043,"Clarke, VA",41321,41852,44194,44835,45151,43970
51045,"Craig, VA",7972,8347,8187,8522,8690,9385
51047,"Culpeper, VA",175058,177050,180341,187568,191218,199799
51049,"Cumberland, VA",14640,15552,15961,15302,14927,15191
51051,"Dickenson, VA",43394,39692,41532,42588,42703,43526
51057,"Essex, VA",34156,35435,35042,34833,34803,36565
51061,"Fauquier, VA",256814,265703,270672,282411,286190,296451
51063,"Floyd, VA",28192,29509,30258,31801,32230,33480
51065,"Fluvanna, VA",53294,52726,52027,54183,55280,57889
51067,"Franklin, VA",137638,139195,143459,148480,149419,160153
51071,"Giles, VA",56746,55434,53570,55803,55880,60724
51073,"Gloucester, VA",90999,94238,95268,99260,101047,105092
51075,"Goochland, VA",232416,240713,269861,277903,294731,314154
51077,"Grayson, VA",29578,30989,32108,33207,34112,35699
51079,"Greene, VA",35142,36346,36815,37762,38495,39307
51083,"Halifax, VA",131259,134422,133565,132900,136418,137421
51085,"Hanover, VA",500086,511091,530920,553330,566865,566840
51087,"Henrico, VA",2205259,2236789,2333369,2383291,2399838,2437999
51091,"Highland, VA",5642,5761,5737,5740,5577,5648
51093,"Isle of Wight, VA",116946,119114,121552,120315,117398,126936
51097,"King and Queen, VA",12418,12441,12691,13108,12825,14295
51099,"King George, VA",276889,302517,320303,336392,362260,380553
51101,"King William, VA",41578,43048,44154,45891,45937,46871
51103,"Lancaster, VA",41441,42799,43300,43875,44395,45729
51105,"Lee, VA",55190,56576,56292,55570,55848,59106
51107,"Loudoun, VA",2097939,2157968,2273275,2418114,2545572,2604430
51109,"Louisa, VA",128106,130374,131922,138042,137275,143885
51111,"Lunenburg, VA",28341,28617,28942,29590,29506,30277
51113,"Madison, VA",31019,31753,31788,31421,32563,34837
51115,"Mathews, VA",13631,13989,14251,15107,15649,16129
51117,"Mecklenburg, VA",110399,112343,111628,113583,112429,117711
51119,"Middlesex, VA",34493,35738,37622,37892,37246,36881
51125,"Nelson, VA",39075,40092,39695,42037,42101,43223
51127,"New Kent, VA",42884,44647,45414,48193,55444,61911
51131,"Northampton, VA",46266,46306,41849,39742,39898,42317
51133,"Northumberland, VA",26414,27886,28887,31683,33649,34848
51135,"Nottoway, VA",79044,79103,77851,80944,82433,81807
51137,"Orange, VA",94782,101564,102418,105024,107805,110707
51139,"Page, VA",55402,57956,58687,61074,61240,62578
51141,"Patrick, VA",46894,46563,46746,45634,44013,43102
51145,"Powhatan, VA",80084,82117,79051,80101,83331,86698
51147,"Prince Edward, VA",94725,99685,100811,104969,105085,105433
51155,"Pulaski, VA",154621,143815,144835,158974,166739,157998
51157,"Rappahannock, VA",18181,18520,19001,15013,15381,15955
51159,"Richmond, VA",34569,35979,35768,39901,37576,39444
51167,"Russell, VA",79505,79204,80060,80635,80467,80770
51169,"Scott, VA",49008,47785,48779,51773,53316,53155
51171,"Shenandoah, VA",136949,138568,141054,150169,152688,157733
51173,"Smyth, VA",135051,138084,135392,137446,136581,139070
51179,"Stafford, VA",598988,623088,646191,686178,714955,744159
51181,"Surry, VA",60970,61792,57859,61584,59258,65708
51183,"Sussex, VA",44484,44460,43270,43564,44900,47349
51185,"Tazewell, VA",157458,152189,159458,163704,156413,155514
51187,"Warren, VA",125943,128603,130991,139088,140398,146721
51193,"Westmoreland, VA",33105,34825,35453,36108,35625,37075
51197,"Wythe, VA",117407,118647,119868,120312,119832,123393
51510,"Alexandria (Independent City), VA",1713987,1737649,1772480,1810743,1780045,1758797
51550,"Chesapeake (Independent City), VA",1059919,1069792,1105887,1156808,1179485,1228042
51650,"Hampton (Independent City), VA",948451,971589,1012258,1013203,1043807,1070412
51700,"Newport News (Independent City), VA",1602301,1532506,1573406,1652262,1692275,1774854
51710,"Norfolk (Independent City), VA",3339572,3465023,3355448,3077052,2969241,3055784
51740,"Portsmouth (Independent City), VA",977584,1015594,1038715,1035707,1106915,1139386
51760,"Richmond (Independent City), VA",2263060,2340656,2405973,2479702,2546373,2572117
51770,"Roanoke (Independent City), VA",795627,810647,808225,826530,824424,833974
51800,"Suffolk (Independent City), VA",369423,382974,396313,410243,423449,448203
51810,"Virginia Beach (Independent City), VA",2329920,2481438,2568599,2528139,2597464,2704483
51901,"Albemarle + Charlottesville, VA*",1333458,1369167,1435146,1498716,1523053,1534008
51903,"Alleghany + Covington, VA*",91351,91952,91387,93686,94651,94130
51907,"Augusta, Staunton + Waynesboro, VA*",513248,530199,535598,554589,562150,575886
51911,"Campbell + Lynchburg, VA*",735370,741762,763652,791854,793152,814332
51913,"Carroll + Galax, VA*",114157,115893,116358,116183,112619,114079
51918,"Dinwiddie, Colonial Heights + Petersburg, VA*",326843,335970,335141,346553,343988,349041
51919,"Fairfax, Fairfax City + Falls Church, VA*",10477558,10661434,11180660,11700198,12133279,12261171
51921,"Frederick + Winchester, VA*",621825,641458,672120,702142,720571,769742
51923,"Greensville + Emporia, VA*",81297,84225,86258,87258,85571,89713
51929,"Henry + Martinsville, VA*",232199,235727,236267,244338,242097,249688
51931,"James City + Williamsburg, VA*",423837,443728,457591,473577,473482,467071
51933,"Montgomery + Radford, VA*",659473,682642,693314,720709,723101,741946
51939,"Pittsylvania + Danville, VA*",378743,386056,386860,395564,386794,399819
51941,"Prince George + Hopewell, VA*",643822,593919,603441,626959,630014,650505
51942,"Prince William, Manassas + Manassas Park, VA*",2067067,2072397,2114848,2222116,2347703,2427538
51944,"Roanoke + Salem, VA*",708159,694412,694958,712993,708435,724587
51945,"Rockbridge, Buena Vista + Lexington, VA*",140241,143507,143326,146472,151474,153610
51947,"Rockingham + Harrisonburg, VA*",660945,684917,692734,721685,740856,765133
51949,"Southampton + Franklin, VA*",87628,88925,86956,88261,87909,91736
51951,"Spotsylvania + Fredericksburg, VA*",588366,604634,632178,662864,667099,682509
51953,"Washington + Bristol, VA*",321575,319942,314222,320401,309793,312380
51955,"Wise + Norton, VA*",180627,171917,171588,174164,174978,178456
51958,"York + Poquoson, VA*",276974,282270,285405,293509,310762,307401